"title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","platform_id","contact_name","contact_email","contact_phone","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell type:ch1","treatment:ch1"
"Control11","GSM8534288","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907395","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188054","NONE","cumulus cells","control"
"Control12","GSM8534289","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907394","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188055","NONE","cumulus cells","control"
"Control13","GSM8534290","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907393","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188056","NONE","cumulus cells","control"
"Control14","GSM8534291","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907392","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188057","NONE","cumulus cells","control"
"Control15","GSM8534292","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907391","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188058","NONE","cumulus cells","control"
"Control16","GSM8534293","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907390","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188059","NONE","cumulus cells","control"
"Control17","GSM8534294","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: control","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907389","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188060","NONE","cumulus cells","control"
"PCOS1","GSM8534295","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907388","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188061","NONE","cumulus cells","pcos"
"PCOS2","GSM8534296","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907387","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188062","NONE","cumulus cells","pcos"
"PCOS3","GSM8534297","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907386","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188063","NONE","cumulus cells","pcos"
"PCOS4","GSM8534298","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907385","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188064","NONE","cumulus cells","pcos"
"PCOS5","GSM8534299","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907384","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188065","NONE","cumulus cells","pcos"
