"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","3/72","174/9507",0.0172413793103448,2.27658045977011,1.48458950031801,0.144895632011182,0.643252191601986,0.620047943412914,"144165/81029/11197",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","1/72","21/9507",0.0476190476190476,6.28769841269841,2.11899028245577,0.147698387851769,0.643252191601986,0.620047943412914,"5169",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","5/72","370/9507",0.0135135135135135,1.78434684684685,1.34431611726304,0.148164830649896,0.643252191601986,0.620047943412914,"2560/5029/6013/2903/9127",5
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","6/72","483/9507",0.0124223602484472,1.64026915113872,1.26162649400987,0.158190678476419,0.664760159436732,0.640780047239428,"2878/596/92552/81029/116442/2903",6
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","1/72","23/9507",0.0434782608695652,5.74094202898551,1.98850639135361,0.160588128403256,0.664760159436732,0.640780047239428,"8671",1
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","2/72","99/9507",0.0202020202020202,2.66750841750842,1.45690481548484,0.172450209432779,0.685825775076277,0.661085755987186,"5588/5029",2
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","1/72","26/9507",0.0384615384615385,5.07852564102564,1.81910177921638,0.179563117833828,0.685825775076277,0.661085755987186,"5406",1
"Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","2/72","103/9507",0.0194174757281553,2.56391585760518,1.39402283018619,0.183305982550573,0.685825775076277,0.661085755987186,"728343/56001",2
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","2/72","105/9507",0.019047619047619,2.51507936507937,1.3636851471773,0.188772259974478,0.685825775076277,0.661085755987186,"5588/596",2
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","2/72","106/9507",0.0188679245283019,2.49135220125786,1.34877754432586,0.191514132933286,0.685825775076277,0.661085755987186,"596/5155",2
NA,NA,"hsa04517","IgSF CAM signaling","4/72","302/9507",0.0132450331125828,1.74889624724062,1.15533367029116,0.195097736397222,0.685825775076277,0.661085755987186,"5588/4629/8499/4897",4
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","2/72","108/9507",0.0185185185185185,2.44521604938272,1.3194654711375,0.19701415051032,0.685825775076277,0.661085755987186,"728343/56001",2
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","3/72","203/9507",0.0147783251231527,1.95135467980296,1.19687784478217,0.198836513291166,0.685825775076277,0.661085755987186,"4629/149461/9076",3
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","3/72","205/9507",0.0146341463414634,1.93231707317073,1.17881757262079,0.202728608164747,0.685825775076277,0.661085755987186,"596/4938/10018",3
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","1/72","30/9507",0.0333333333333333,4.40138888888889,1.62995523333803,0.204206551005858,0.685825775076277,0.661085755987186,"1571",1
"Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","1/72","32/9507",0.03125,4.12630208333333,1.54742824890922,0.216253079596271,0.696735130765864,0.671601574895541,"51179",1
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","3/72","212/9507",0.0141509433962264,1.8685141509434,1.11715731425003,0.216491461296538,0.696735130765864,0.671601574895541,"284/5155/2903",3
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","2/72","116/9507",0.0172413793103448,2.27658045977011,1.20841322005829,0.21919756922971,0.696735130765864,0.671601574895541,"149461/9076",2
NA,NA,"hsa04382","Cornified envelope formation","3/72","217/9507",0.0138248847926267,1.82546082949309,1.07451548963883,0.226444245457817,0.703830611884662,0.678441098386753,"4014/149461/9076",3
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","1/72","35/9507",0.0285714285714286,3.77261904761905,1.43548143744629,0.233986459283592,0.703830611884662,0.678441098386753,"6652",1
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","1/72","36/9507",0.0277777777777778,3.66782407407407,1.40089220991858,0.23980919734647,0.703830611884662,0.678441098386753,"6652",1
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","2/72","125/9507",0.016,2.11266666666667,1.09387216369333,0.24440083003863,0.703830611884662,0.678441098386753,"9846/596",2
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","1/72","37/9507",0.027027027027027,3.56869369369369,1.36751592655014,0.245588284854765,0.703830611884662,0.678441098386753,"55907",1
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","3/72","227/9507",0.013215859030837,1.74504405286344,0.992464757421767,0.24661049320933,0.703830611884662,0.678441098386753,"3162/1728/1571",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","1/72","38/9507",0.0263157894736842,3.47478070175439,1.33527482729594,0.25132404446305,0.703830611884662,0.678441098386753,"5169",1
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","3/72","232/9507",0.0129310344827586,1.70743534482759,0.952945335175511,0.256804183733305,0.703830611884662,0.678441098386753,"3681/4629/5155",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","1/72","39/9507",0.0256410256410256,3.38568376068376,1.30409807596281,0.257016796474736,0.703830611884662,0.678441098386753,"10841",1
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","1/72","40/9507",0.025,3.30104166666667,1.2739209825935,0.262666858858959,0.708404558740828,0.68285004775136,"5169",1
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","2/72","134/9507",0.0149253731343284,1.97077114427861,0.988608067682839,0.269729106654855,0.714000518579567,0.688244142687578,"5588/4629",2
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","1/72","42/9507",0.0238095238095238,3.14384920634921,1.2163337901919,0.273840175050644,0.714000518579567,0.688244142687578,"3162",1
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","1/72","43/9507",0.0232558139534884,3.07073643410853,1.18881941148835,0.279364053275299,0.714000518579567,0.688244142687578,"5406",1
"Human Diseases","Infectious disease: viral","hsa05162","Measles","2/72","139/9507",0.0143884892086331,1.89988009592326,0.933604219736651,0.283807719219794,0.714000518579567,0.688244142687578,"596/4938",2
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","4/72","362/9507",0.0110497237569061,1.45902394106814,0.777843037535559,0.293682810276159,0.714000518579567,0.688244142687578,"284/596/10018/5155",4
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","1/72","46/9507",0.0217391304347826,2.87047101449275,1.11085040613028,0.295688267340546,0.714000518579567,0.688244142687578,"3162",1
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","2/72","144/9507",0.0138888888888889,1.83391203703704,0.880822049977825,0.297866739577126,0.714000518579567,0.688244142687578,"130399/81029",2
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","2/72","144/9507",0.0138888888888889,1.83391203703704,0.880822049977825,0.297866739577126,0.714000518579567,0.688244142687578,"92552/2903",2
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","3/72","254/9507",0.0118110236220472,1.55954724409449,0.789598908373592,0.302256791060113,0.714000518579567,0.688244142687578,"5155/2903/9127",3
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","1/72","49/9507",0.0204081632653061,2.69472789115646,1.03894501371435,0.311647717897632,0.714000518579567,0.688244142687578,"2903",1
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","2/72","149/9507",0.0134228187919463,1.77237136465324,0.830083877664088,0.311888255068399,0.714000518579567,0.688244142687578,"9846/5155",2
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","2/72","150/9507",0.0133333333333333,1.76055555555556,0.820167316527834,0.314686575535003,0.714000518579567,0.688244142687578,"596/81029",2
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","1/72","50/9507",0.02,2.64083333333333,1.01617142596086,0.316887870605538,0.714000518579567,0.688244142687578,"79814",1
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","1/72","51/9507",0.0196078431372549,2.5890522875817,0.993948185163047,0.322088681995662,0.716647317440348,0.690795462701222,"5168",1
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","2/72","157/9507",0.0127388535031847,1.68205944798301,0.752766789929559,0.334203744990357,0.725466665954678,0.699296667951582,"5029/121601",2
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","2/72","157/9507",0.0127388535031847,1.68205944798301,0.752766789929559,0.334203744990357,0.725466665954678,0.699296667951582,"10018/1571",2
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","1/72","56/9507",0.0178571428571429,2.3578869047619,0.890251948600449,0.347512738242238,0.730842923934767,0.704478986406665,"596",1
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","1/72","59/9507",0.0169491525423729,2.23799435028249,0.833237730208948,0.362313391057299,0.730842923934767,0.704478986406665,"2878",1
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","2/72","168/9507",0.0119047619047619,1.5719246031746,0.653337270229899,0.364550732610596,0.730842923934767,0.704478986406665,"596/5155",2
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","1/72","61/9507",0.0163934426229508,2.1646174863388,0.797110361408371,0.371996054483745,0.730842923934767,0.704478986406665,"3162",1
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","2/72","172/9507",0.0116279069767442,1.53536821705426,0.618947550180455,0.375465327699105,0.730842923934767,0.704478986406665,"596/92552",2
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","1/72","63/9507",0.0158730158730159,2.09589947089947,0.762354913466826,0.381533707255655,0.730842923934767,0.704478986406665,"81029",1
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","1/72","64/9507",0.015625,2.06315104166667,0.74545968615141,0.386248825116476,0.730842923934767,0.704478986406665,"1571",1
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","1/72","65/9507",0.0153846153846154,2.03141025641026,0.728870422516835,0.390928490963306,0.730842923934767,0.704478986406665,"5406",1
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","3/72","300/9507",0.01,1.32041666666667,0.4926186557769,0.397921484269676,0.730842923934767,0.704478986406665,"284/5155/55799",3
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","1/72","67/9507",0.0149253731343284,1.97077114427861,0.696566307071256,0.400182516014137,0.730842923934767,0.704478986406665,"2903",1
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","1/72","68/9507",0.0147058823529412,1.94178921568627,0.680831086621009,0.404757395129283,0.730842923934767,0.704478986406665,"1555",1
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","2/72","184/9507",0.0108695652173913,1.43523550724638,0.520774354101547,0.407745417208346,0.730842923934767,0.704478986406665,"3983/81029",2
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","1/72","69/9507",0.0144927536231884,1.91364734299517,0.665361021736915,0.409297862080305,0.730842923934767,0.704478986406665,"9846",1
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","1/72","69/9507",0.0144927536231884,1.91364734299517,0.665361021736915,0.409297862080305,0.730842923934767,0.704478986406665,"2903",1
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","1/72","70/9507",0.0142857142857143,1.88630952380952,0.650147144533951,0.413804172096221,0.730842923934767,0.704478986406665,"5588",1
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","1/72","70/9507",0.0142857142857143,1.88630952380952,0.650147144533951,0.413804172096221,0.730842923934767,0.704478986406665,"5155",1
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","1/72","70/9507",0.0142857142857143,1.88630952380952,0.650147144533951,0.413804172096221,0.730842923934767,0.704478986406665,"4624",1
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","1/72","71/9507",0.0140845070422535,1.85974178403756,0.635180919235363,0.418276578539908,0.730842923934767,0.704478986406665,"1571",1
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","2/72","189/9507",0.0105820105820106,1.39726631393298,0.481887311080663,0.420967072906676,0.730842923934767,0.704478986406665,"596/4938",2
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","1/72","73/9507",0.0136986301369863,1.8087899543379,0.605959283593385,0.427120684911969,0.730842923934767,0.704478986406665,"5155",1
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","1/72","75/9507",0.0133333333333333,1.76055555555556,0.577635504812149,0.435832171285261,0.730842923934767,0.704478986406665,"596",1
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","1/72","75/9507",0.0133333333333333,1.76055555555556,0.577635504812149,0.435832171285261,0.730842923934767,0.704478986406665,"596",1
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","1/72","75/9507",0.0133333333333333,1.76055555555556,0.577635504812149,0.435832171285261,0.730842923934767,0.704478986406665,"2878",1
"Human Diseases","Cancer: specific types","hsa05214","Glioma","1/72","76/9507",0.0131578947368421,1.73739035087719,0.563792864461942,0.440138795931938,0.730842923934767,0.704478986406665,"5155",1
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","1/72","77/9507",0.012987012987013,1.71482683982684,0.550154371120684,0.444412998741068,0.730842923934767,0.704478986406665,"9846",1
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","1/72","78/9507",0.0128205128205128,1.69284188034188,0.536713866834725,0.448655020383766,0.730842923934767,0.704478986406665,"117283",1
"Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","1/72","78/9507",0.0128205128205128,1.69284188034188,0.536713866834725,0.448655020383766,0.730842923934767,0.704478986406665,"10200",1
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","2/72","203/9507",0.00985221674876847,1.30090311986864,0.378559421887952,0.457182634699389,0.730842923934767,0.704478986406665,"596/5155",2
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","1/72","83/9507",0.0120481927710843,1.59086345381526,0.47228346097746,0.469390712015046,0.730842923934767,0.704478986406665,"51179",1
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","1/72","86/9507",0.0116279069767442,1.53536821705426,0.435659822036597,0.481460976700624,0.730842923934767,0.704478986406665,"55799",1
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","2/72","214/9507",0.00934579439252336,1.23403426791277,0.302484114376293,0.484732576371706,0.730842923934767,0.704478986406665,"596/10053",2
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","2/72","216/9507",0.00925925925925926,1.22260802469136,0.289088397988024,0.489650906879245,0.730842923934767,0.704478986406665,"596/1555",2
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","2/72","217/9507",0.00921658986175115,1.21697388632872,0.28243835852335,0.492099340938979,0.730842923934767,0.704478986406665,"596/1555",2
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","1/72","89/9507",0.0112359550561798,1.48361423220974,0.40041370562171,0.493260395614044,0.730842923934767,0.704478986406665,"2560",1
"Organismal Systems","Digestive system","hsa04976","Bile secretion","1/72","90/9507",0.0111111111111111,1.46712962962963,0.388952516362379,0.497134387068258,0.730842923934767,0.704478986406665,"8671",1
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","1/72","90/9507",0.0111111111111111,1.46712962962963,0.388952516362379,0.497134387068258,0.730842923934767,0.704478986406665,"5588",1
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","1/72","91/9507",0.010989010989011,1.45100732600733,0.377628939240144,0.500979170346487,0.730842923934767,0.704478986406665,"2560",1
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","1/72","92/9507",0.0108695652173913,1.43523550724638,0.366439490861659,0.504794962586828,0.730842923934767,0.704478986406665,"5155",1
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","1/72","93/9507",0.010752688172043,1.41980286738351,0.3553808148845,0.508581979336032,0.730842923934767,0.704478986406665,"5588",1
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","1/72","93/9507",0.010752688172043,1.41980286738351,0.3553808148845,0.508581979336032,0.730842923934767,0.704478986406665,"596",1
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","1/72","95/9507",0.0105263157894737,1.38991228070175,0.333642954476845,0.516070540660178,0.730842923934767,0.704478986406665,"284",1
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","1/72","97/9507",0.0103092783505155,1.36125429553265,0.312390829412015,0.523446547300754,0.730842923934767,0.704478986406665,"2903",1
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","1/72","98/9507",0.0102040816326531,1.34736394557823,0.301939716994674,0.527092864898453,0.730842923934767,0.704478986406665,"117283",1
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","1/72","99/9507",0.0101010101010101,1.33375420875421,0.291601594820666,0.530711667505245,0.730842923934767,0.704478986406665,"596",1
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","1/72","99/9507",0.0101010101010101,1.33375420875421,0.291601594820666,0.530711667505245,0.730842923934767,0.704478986406665,"9846",1
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","1/72","99/9507",0.0101010101010101,1.33375420875421,0.291601594820666,0.530711667505245,0.730842923934767,0.704478986406665,"5155",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","1/72","100/9507",0.01,1.32041666666667,0.281373846119112,0.534303159845766,0.730842923934767,0.704478986406665,"6362",1
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","1/72","101/9507",0.0099009900990099,1.30734323432343,0.271253941746741,0.537867545143003,0.730842923934767,0.704478986406665,"81029",1
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","1/72","101/9507",0.0099009900990099,1.30734323432343,0.271253941746741,0.537867545143003,0.730842923934767,0.704478986406665,"596",1
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","1/72","109/9507",0.00917431192660551,1.21139143730887,0.193899692892823,0.565430673704325,0.73611256080564,0.709558529930924,"5588",1
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","1/72","109/9507",0.00917431192660551,1.21139143730887,0.193899692892823,0.565430673704325,0.73611256080564,0.709558529930924,"5588",1
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","1/72","110/9507",0.00909090909090909,1.20037878787879,0.18464930411083,0.568759998187543,0.73611256080564,0.709558529930924,"130399",1
