#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC8	ABCG5	9606.ENSP00000494321	9606.ENSP00000384513	0	0	0	0	0.084	0.100	0.540	0.389	0.737
ABCD1	ACSL1	9606.ENSP00000218104	9606.ENSP00000422607	0	0	0	0	0.100	0.100	0	0.662	0.703
ABCD1	ACSL4	9606.ENSP00000218104	9606.ENSP00000339787	0	0	0	0	0.082	0.100	0	0.675	0.708
ABCD1	AGPS	9606.ENSP00000218104	9606.ENSP00000264167	0	0	0	0	0	0.591	0	0.348	0.721
ABCD1	ACSL6	9606.ENSP00000218104	9606.ENSP00000498260	0	0	0	0	0.100	0.100	0	0.695	0.731
ABCD1	ACSL3	9606.ENSP00000218104	9606.ENSP00000350012	0	0	0	0	0.067	0.100	0	0.721	0.745
ABCD1	ACBD5	9606.ENSP00000218104	9606.ENSP00000365049	0	0	0	0	0.049	0	0.500	0.558	0.771
ABCD1	ACSBG1	9606.ENSP00000218104	9606.ENSP00000258873	0	0	0	0	0.100	0.100	0	0.881	0.895
ABCD1	ABCD2	9606.ENSP00000218104	9606.ENSP00000310688	0	0	0.056	0.968	0	0.543	0.900	0.071	0.954
ABCD1	ABCD3	9606.ENSP00000218104	9606.ENSP00000359233	0	0	0.094	0.887	0.069	0.635	0.900	0.467	0.980
ABCD2	ACSBG1	9606.ENSP00000310688	9606.ENSP00000258873	0	0	0	0	0.100	0.100	0	0.849	0.867
ABCD2	ABCD3	9606.ENSP00000310688	9606.ENSP00000359233	0	0	0.093	0.888	0.069	0.132	0.900	0.152	0.926
ABCD3	ACSBG1	9606.ENSP00000359233	9606.ENSP00000258873	0	0	0	0	0.067	0.100	0	0.800	0.817
ABCD3	ACOX1	9606.ENSP00000359233	9606.ENSP00000293217	0	0	0	0	0.149	0	0	0.800	0.823
ABCD3	ACSL4	9606.ENSP00000359233	9606.ENSP00000339787	0	0	0	0	0.103	0.100	0	0.660	0.702
ABCD3	ACOX3	9606.ENSP00000359233	9606.ENSP00000348775	0	0	0	0	0.109	0	0	0.740	0.759
ABCD3	ACSL3	9606.ENSP00000359233	9606.ENSP00000350012	0	0	0	0	0.172	0.100	0	0.689	0.748
ABCD3	ACBD5	9606.ENSP00000359233	9606.ENSP00000365049	0	0	0	0	0.130	0.132	0.400	0.554	0.771
ABCD4	ACSBG1	9606.ENSP00000349396	9606.ENSP00000258873	0	0	0	0	0.067	0.100	0	0.813	0.829
ABCD4	ABCG8	9606.ENSP00000349396	9606.ENSP00000272286	0	0	0	0	0.055	0	0.900	0.416	0.940
ABCD4	ABCG5	9606.ENSP00000349396	9606.ENSP00000384513	0	0	0	0	0	0	0.900	0.440	0.941
ABCE1	ABCF2	9606.ENSP00000296577	9606.ENSP00000222388	0	0	0	0	0.722	0.096	0	0.713	0.921
ABCE1	ABCF1	9606.ENSP00000296577	9606.ENSP00000313603	0	0	0	0	0.338	0.305	0	0.726	0.863
ABCG5	ABCG8	9606.ENSP00000384513	9606.ENSP00000272286	0	0	0.131	0.739	0.847	0.971	0.900	0.988	0.999
ABHD12	ABHD6	9606.ENSP00000365725	9606.ENSP00000295962	0.043	0	0	0	0.108	0	0.360	0.918	0.949
ABHD12	ABHD4	9606.ENSP00000365725	9606.ENSP00000414558	0.043	0	0	0	0.095	0	0	0.739	0.754
ABHD12	ABHD16A	9606.ENSP00000365725	9606.ENSP00000379282	0	0	0	0	0.060	0	0	0.852	0.855
ABHD4	ABHD6	9606.ENSP00000414558	9606.ENSP00000295962	0	0	0	0	0.067	0	0	0.734	0.742
ABI1	ABI3	9606.ENSP00000365312	9606.ENSP00000225941	0	0	0	0.891	0.049	0	0.720	0.144	0.752
ABI1	ACTR3	9606.ENSP00000365312	9606.ENSP00000263238	0	0	0	0	0.263	0.070	0.500	0.586	0.839
ABI1	ABI2	9606.ENSP00000365312	9606.ENSP00000295851	0	0	0.051	0.964	0	0.751	0.900	0.864	0.996
ABI1	ABL1	9606.ENSP00000365312	9606.ENSP00000361423	0	0	0	0	0	0.876	0.400	0.977	0.998
ABI1	ACTR2	9606.ENSP00000365312	9606.ENSP00000367220	0	0	0	0	0.123	0.074	0.500	0.669	0.847
ABI2	ABI3	9606.ENSP00000295851	9606.ENSP00000225941	0	0	0	0.871	0	0.327	0.720	0.139	0.823
ABI2	ABL2	9606.ENSP00000295851	9606.ENSP00000427562	0	0	0	0	0.048	0.580	0	0.471	0.770
ABI2	ABL1	9606.ENSP00000295851	9606.ENSP00000361423	0	0	0	0	0.043	0.868	0.400	0.786	0.981
ABI3	ABI3BP	9606.ENSP00000225941	9606.ENSP00000284322	0	0	0	0	0.042	0.230	0	0.998	0.998
ABL1	AHI1	9606.ENSP00000361423	9606.ENSP00000265602	0	0	0	0	0.051	0.097	0	0.829	0.840
ABL1	AFF1	9606.ENSP00000361423	9606.ENSP00000378578	0	0	0	0	0.128	0.097	0	0.819	0.845
ABL1	ABL2	9606.ENSP00000361423	9606.ENSP00000427562	0	0	0.068	0.936	0.062	0.531	0.900	0.627	0.981
ABLIM1	ABRA	9606.ENSP00000277895	9606.ENSP00000311436	0	0	0	0	0	0.292	0	0.853	0.891
ABLIM1	ABLIM3	9606.ENSP00000277895	9606.ENSP00000425394	0	0	0	0.947	0.057	0	0.900	0.370	0.935
ABLIM2	ABRA	9606.ENSP00000393511	9606.ENSP00000311436	0	0	0	0	0.044	0.292	0	0.941	0.956
ABLIM3	ABRA	9606.ENSP00000425394	9606.ENSP00000311436	0	0	0	0	0	0.292	0	0.942	0.957
ACAA1	ACADL	9606.ENSP00000333664	9606.ENSP00000233710	0.054	0	0	0	0.333	0.051	0.918	0.643	0.979
ACAA1	ACADS	9606.ENSP00000333664	9606.ENSP00000242592	0.054	0	0	0	0.697	0.051	0.918	0.696	0.992
ACAA1	ACSS2	9606.ENSP00000333664	9606.ENSP00000253382	0.055	0	0	0	0.290	0	0.836	0.339	0.918
ACAA1	AGPS	9606.ENSP00000333664	9606.ENSP00000264167	0	0	0	0	0.043	0.211	0.500	0.537	0.802
ACAA1	ACAT1	9606.ENSP00000333664	9606.ENSP00000265838	0	0	0.159	0.759	0.067	0.162	0.900	0.312	0.946
ACAA1	ACAA2	9606.ENSP00000333664	9606.ENSP00000285093	0	0	0.120	0.839	0.122	0.162	0.900	0.158	0.935
ACAA1	ACOX1	9606.ENSP00000333664	9606.ENSP00000293217	0.054	0	0	0	0.641	0.180	0.932	0.945	0.998
ACAA1	ACOX2	9606.ENSP00000333664	9606.ENSP00000307697	0.054	0	0	0	0.609	0.059	0.357	0.808	0.949
ACAA1	ACAD9	9606.ENSP00000333664	9606.ENSP00000312618	0.054	0	0	0	0.343	0.051	0.216	0.535	0.746
ACAA1	ACSS1	9606.ENSP00000333664	9606.ENSP00000316924	0.055	0	0	0	0.251	0	0.836	0.320	0.911
ACAA1	ACSL6	9606.ENSP00000333664	9606.ENSP00000498260	0.057	0	0	0	0.332	0.092	0	0.547	0.706
ACAA1	ACSL5	9606.ENSP00000333664	9606.ENSP00000348429	0.057	0	0	0	0.334	0.094	0	0.547	0.708
ACAA1	ACSL1	9606.ENSP00000333664	9606.ENSP00000422607	0.057	0	0	0	0.354	0.098	0	0.601	0.751
ACAA1	ACADM	9606.ENSP00000333664	9606.ENSP00000359871	0.054	0	0	0	0.338	0.051	0.216	0.657	0.811
ACAA1	ACSS3	9606.ENSP00000333664	9606.ENSP00000449535	0.055	0	0	0	0.247	0	0.836	0.219	0.897
ACAA1	ACLY	9606.ENSP00000333664	9606.ENSP00000466259	0.057	0	0	0	0.113	0	0.827	0.453	0.910
ACAA1	ACAT2	9606.ENSP00000333664	9606.ENSP00000356015	0	0	0.112	0.854	0.061	0	0.900	0.186	0.923
ACAA1	ACADVL	9606.ENSP00000333664	9606.ENSP00000438689	0.054	0	0	0	0.527	0.051	0.918	0.489	0.979
ACAA1	ACADSB	9606.ENSP00000333664	9606.ENSP00000357873	0.054	0	0	0	0.697	0.051	0.918	0.684	0.991
ACAA1	ACOX3	9606.ENSP00000333664	9606.ENSP00000348775	0.054	0	0	0	0.335	0.051	0.918	0.917	0.995
ACAA2	ACO2	9606.ENSP00000285093	9606.ENSP00000216254	0	0	0	0	0.149	0.467	0	0.493	0.750
ACAA2	ACADL	9606.ENSP00000285093	9606.ENSP00000233710	0.054	0	0	0	0.326	0.098	0.918	0.636	0.979
ACAA2	ACADS	9606.ENSP00000285093	9606.ENSP00000242592	0.054	0	0	0	0.343	0.098	0.918	0.672	0.982
ACAA2	ACSS2	9606.ENSP00000285093	9606.ENSP00000253382	0.055	0	0	0	0.250	0	0.836	0.493	0.933
ACAA2	ACAT1	9606.ENSP00000285093	9606.ENSP00000265838	0	0	0.107	0.866	0.258	0.440	0.900	0.165	0.963
ACAA2	ACAD8	9606.ENSP00000285093	9606.ENSP00000281182	0.054	0	0	0	0.405	0.078	0.216	0.563	0.790
ACAA2	ACAD9	9606.ENSP00000285093	9606.ENSP00000312618	0.054	0	0	0	0.365	0.094	0.216	0.577	0.787
ACAA2	ACSL1	9606.ENSP00000285093	9606.ENSP00000422607	0.057	0	0	0	0.115	0.066	0	0.760	0.788
ACAA2	ACLY	9606.ENSP00000285093	9606.ENSP00000466259	0.057	0	0	0	0.107	0	0.819	0.492	0.912
ACAA2	ACAT2	9606.ENSP00000285093	9606.ENSP00000356015	0	0	0.092	0.896	0.136	0	0.900	0.133	0.922
ACAA2	ACSS3	9606.ENSP00000285093	9606.ENSP00000449535	0.055	0	0	0	0.249	0	0.836	0.449	0.927
ACAA2	ACADM	9606.ENSP00000285093	9606.ENSP00000359871	0.054	0	0	0	0.625	0.205	0.216	0.759	0.937
ACAA2	ACSS1	9606.ENSP00000285093	9606.ENSP00000316924	0.055	0	0	0	0.256	0	0.836	0.518	0.937
ACAA2	ACADSB	9606.ENSP00000285093	9606.ENSP00000357873	0.054	0	0	0	0.339	0.094	0.918	0.544	0.975
ACAA2	ACADVL	9606.ENSP00000285093	9606.ENSP00000438689	0.054	0	0	0	0.356	0.099	0.918	0.693	0.983
ACAA2	ACOX3	9606.ENSP00000285093	9606.ENSP00000348775	0.054	0	0	0	0.340	0.051	0.918	0.772	0.986
ACAA2	ACOX1	9606.ENSP00000285093	9606.ENSP00000293217	0.054	0	0	0	0.335	0.051	0.918	0.813	0.989
ACACA	ACSS2	9606.ENSP00000483300	9606.ENSP00000253382	0.055	0	0	0	0.139	0.069	0.900	0.670	0.970
ACACA	ACAT1	9606.ENSP00000483300	9606.ENSP00000265838	0.042	0	0	0	0.055	0	0.927	0.499	0.962
ACACA	ACOX1	9606.ENSP00000483300	9606.ENSP00000293217	0.043	0	0	0	0.042	0	0.265	0.709	0.778
ACACA	ACOT12	9606.ENSP00000483300	9606.ENSP00000303246	0.042	0	0	0	0	0	0.900	0.197	0.916
ACACA	ACSS1	9606.ENSP00000483300	9606.ENSP00000316924	0.055	0	0	0	0.111	0.069	0.900	0.539	0.957
ACACA	ACACB	9606.ENSP00000483300	9606.ENSP00000341044	0	0	0.052	0.977	0.049	0.459	0.900	0.424	0.966
ACACA	ACSL3	9606.ENSP00000483300	9606.ENSP00000350012	0	0	0	0	0.227	0	0	0.748	0.797
ACACA	ACAT2	9606.ENSP00000483300	9606.ENSP00000356015	0.042	0	0	0	0.140	0	0.927	0.394	0.959
ACACA	ADIPOQ	9606.ENSP00000483300	9606.ENSP00000389814	0	0	0	0	0.091	0	0	0.725	0.739
ACACA	ACSL1	9606.ENSP00000483300	9606.ENSP00000422607	0	0	0	0	0.105	0	0	0.793	0.807
ACACA	ACLY	9606.ENSP00000483300	9606.ENSP00000466259	0	0	0	0	0.374	0	0.800	0.900	0.986
ACACA	ACSF3	9606.ENSP00000483300	9606.ENSP00000479130	0.056	0	0	0	0.042	0	0.900	0.315	0.929
ACACB	ACSS2	9606.ENSP00000341044	9606.ENSP00000253382	0.055	0	0	0	0.123	0.069	0.900	0.568	0.960
ACACB	ACAT1	9606.ENSP00000341044	9606.ENSP00000265838	0.042	0	0	0	0.073	0	0.927	0.355	0.953
ACACB	ACOX1	9606.ENSP00000341044	9606.ENSP00000293217	0.043	0	0	0	0.049	0	0.265	0.723	0.790
ACACB	ACOT12	9606.ENSP00000341044	9606.ENSP00000303246	0.042	0	0	0	0	0	0.900	0.101	0.906
ACACB	ACSS1	9606.ENSP00000341044	9606.ENSP00000316924	0.055	0	0	0	0.123	0.069	0.900	0.452	0.950
ACACB	ACSL3	9606.ENSP00000341044	9606.ENSP00000350012	0	0	0	0	0.191	0	0	0.657	0.710
ACACB	ACSL1	9606.ENSP00000341044	9606.ENSP00000422607	0	0	0	0	0.110	0	0	0.717	0.737
ACACB	ACSF3	9606.ENSP00000341044	9606.ENSP00000479130	0.056	0	0	0	0.049	0	0.900	0.256	0.924
ACACB	ACAT2	9606.ENSP00000341044	9606.ENSP00000356015	0.042	0	0	0	0.062	0	0.927	0.311	0.949
ACACB	ACLY	9606.ENSP00000341044	9606.ENSP00000466259	0	0	0	0	0.205	0	0.800	0.828	0.970
ACAD8	ACADS	9606.ENSP00000281182	9606.ENSP00000242592	0	0	0.104	0.854	0.250	0.054	0.900	0.193	0.939
ACAD8	ACADSB	9606.ENSP00000281182	9606.ENSP00000357873	0	0	0.115	0.817	0.259	0.248	0.900	0.230	0.955
ACADL	ACSS1	9606.ENSP00000233710	9606.ENSP00000316924	0.044	0	0	0	0.189	0	0.187	0.612	0.723
ACADL	ACSL1	9606.ENSP00000233710	9606.ENSP00000422607	0.050	0	0	0	0.160	0.071	0.189	0.814	0.868
ACADL	ACADSB	9606.ENSP00000233710	9606.ENSP00000357873	0	0	0.123	0.803	0.111	0.094	0.900	0.173	0.931
ACADL	ACADS	9606.ENSP00000233710	9606.ENSP00000242592	0	0	0.129	0.807	0.110	0.098	0.900	0.218	0.935
ACADL	ACADVL	9606.ENSP00000233710	9606.ENSP00000438689	0	0	0.151	0.719	0.130	0.098	0.900	0.386	0.951
ACADL	ACOX3	9606.ENSP00000233710	9606.ENSP00000348775	0	0	0	0	0	0	0.900	0.628	0.961
ACADL	ACOX1	9606.ENSP00000233710	9606.ENSP00000293217	0	0	0	0	0.105	0	0.900	0.719	0.972
ACADM	ACAT1	9606.ENSP00000359871	9606.ENSP00000265838	0.054	0	0	0	0.472	0.051	0.216	0.356	0.717
ACADM	ACOX1	9606.ENSP00000359871	9606.ENSP00000293217	0	0	0	0	0.148	0	0	0.802	0.824
ACADM	ACOX3	9606.ENSP00000359871	9606.ENSP00000348775	0	0	0	0	0.083	0	0	0.723	0.735
ACADM	ACADVL	9606.ENSP00000359871	9606.ENSP00000438689	0	0	0.169	0.723	0.252	0.099	0	0.549	0.713
ACADM	ACSL1	9606.ENSP00000359871	9606.ENSP00000422607	0.050	0	0	0	0.158	0.071	0.189	0.618	0.728
ACADS	AGXT2	9606.ENSP00000242592	9606.ENSP00000231420	0.042	0	0	0	0.071	0	0.800	0.261	0.851
ACADS	ACOX3	9606.ENSP00000242592	9606.ENSP00000348775	0	0	0	0.577	0.055	0	0.900	0.275	0.925
ACADS	ACSM1	9606.ENSP00000242592	9606.ENSP00000301956	0.044	0.012	0	0	0.189	0	0.915	0.100	0.932
ACADS	ACSM5	9606.ENSP00000242592	9606.ENSP00000327916	0.044	0.009	0	0	0.195	0	0.915	0.191	0.940
ACADS	ACSS3	9606.ENSP00000242592	9606.ENSP00000449535	0.044	0	0	0	0.189	0	0.915	0.216	0.941
ACADS	ACSM2A	9606.ENSP00000242592	9606.ENSP00000459451	0.044	0.010	0	0	0.189	0	0.915	0.279	0.946
ACADS	ACSM2B	9606.ENSP00000242592	9606.ENSP00000327453	0.044	0.008	0	0	0.189	0	0.915	0.293	0.947
ACADS	ACADSB	9606.ENSP00000242592	9606.ENSP00000357873	0	0	0.097	0.885	0.057	0	0.900	0.465	0.948
ACADS	ACSS2	9606.ENSP00000242592	9606.ENSP00000253382	0.044	0	0	0	0.216	0	0.915	0.316	0.950
ACADS	ACSS1	9606.ENSP00000242592	9606.ENSP00000316924	0.044	0	0	0	0.206	0	0.915	0.316	0.950
ACADS	ACOX1	9606.ENSP00000242592	9606.ENSP00000293217	0	0	0	0.566	0.129	0	0.900	0.486	0.951
ACADS	ACAT2	9606.ENSP00000242592	9606.ENSP00000356015	0.054	0	0	0	0.324	0.051	0.918	0.317	0.960
ACADS	ACSM3	9606.ENSP00000242592	9606.ENSP00000289416	0.044	0	0	0	0.190	0	0.915	0.481	0.961
ACADS	ACAT1	9606.ENSP00000242592	9606.ENSP00000265838	0.054	0	0	0	0.333	0.051	0.918	0.445	0.967
ACADSB	ACAT1	9606.ENSP00000357873	9606.ENSP00000265838	0.054	0	0	0	0.373	0.051	0.918	0.416	0.968
ACADSB	ACOX1	9606.ENSP00000357873	9606.ENSP00000293217	0	0	0	0	0.168	0	0.900	0.457	0.950
ACADSB	ACOX3	9606.ENSP00000357873	9606.ENSP00000348775	0	0	0	0.572	0.055	0	0.900	0.254	0.923
ACADSB	ACAT2	9606.ENSP00000357873	9606.ENSP00000356015	0.054	0	0	0	0.328	0.051	0.918	0.358	0.962
ACADVL	ACOX1	9606.ENSP00000438689	9606.ENSP00000293217	0	0	0	0	0.126	0	0.900	0.699	0.971
ACADVL	ACOX3	9606.ENSP00000438689	9606.ENSP00000348775	0	0	0	0.556	0.055	0	0.900	0.364	0.934
ACADVL	ACSL1	9606.ENSP00000438689	9606.ENSP00000422607	0.050	0	0	0	0.153	0.071	0.189	0.778	0.841
ACAN	ADAMTS1	9606.ENSP00000387356	9606.ENSP00000284984	0	0	0	0	0	0	0.400	0.777	0.860
ACAN	ADAMTS5	9606.ENSP00000387356	9606.ENSP00000284987	0	0	0	0	0.055	0	0.400	0.954	0.972
ACAN	ADAMTS3	9606.ENSP00000387356	9606.ENSP00000286657	0	0	0	0	0	0	0	0.961	0.961
ACAN	ADAMTS4	9606.ENSP00000387356	9606.ENSP00000356975	0	0	0	0	0.060	0	0.400	0.969	0.981
ACAN	ADAMTS9	9606.ENSP00000387356	9606.ENSP00000418735	0	0	0	0	0.047	0	0.400	0.775	0.860
ACAT1	ACSS2	9606.ENSP00000265838	9606.ENSP00000253382	0.055	0	0	0	0.247	0	0.918	0.404	0.960
ACAT1	ACLY	9606.ENSP00000265838	9606.ENSP00000466259	0.057	0	0	0	0.107	0	0.819	0.507	0.915
ACAT1	ACOT12	9606.ENSP00000265838	9606.ENSP00000303246	0.059	0	0	0	0.056	0	0.909	0.270	0.933
ACAT1	ACAT2	9606.ENSP00000265838	9606.ENSP00000356015	0	0	0.091	0.898	0.087	0.420	0.900	0.131	0.950
ACAT1	ACOX3	9606.ENSP00000265838	9606.ENSP00000348775	0.054	0	0	0	0.342	0.051	0.918	0.335	0.962
ACAT1	ACSS1	9606.ENSP00000265838	9606.ENSP00000316924	0.055	0	0	0	0.258	0	0.918	0.445	0.964
ACAT1	ACOX1	9606.ENSP00000265838	9606.ENSP00000293217	0.054	0	0	0	0.342	0.051	0.918	0.440	0.968
ACAT2	ACSS2	9606.ENSP00000356015	9606.ENSP00000253382	0.055	0	0	0	0.289	0	0.918	0.351	0.959
ACAT2	ACOX1	9606.ENSP00000356015	9606.ENSP00000293217	0.054	0	0	0	0.326	0.051	0.918	0.414	0.965
ACAT2	ACOT12	9606.ENSP00000356015	9606.ENSP00000303246	0.059	0	0	0	0.056	0	0.909	0.239	0.930
ACAT2	ACSS1	9606.ENSP00000356015	9606.ENSP00000316924	0.055	0	0	0	0.245	0	0.918	0.311	0.954
ACAT2	ACOX3	9606.ENSP00000356015	9606.ENSP00000348775	0.054	0	0	0	0.324	0.051	0.918	0.278	0.957
ACAT2	ACLY	9606.ENSP00000356015	9606.ENSP00000466259	0.057	0	0	0	0.293	0	0.819	0.384	0.916
ACE	ADD1	9606.ENSP00000290866	9606.ENSP00000264758	0	0	0	0	0	0	0	0.799	0.799
ACE	ACHE	9606.ENSP00000290866	9606.ENSP00000303211	0	0	0	0	0.063	0	0	0.727	0.733
ACE	ACTB	9606.ENSP00000290866	9606.ENSP00000494750	0	0	0	0	0	0.292	0	0.683	0.765
ACE	ADAM17	9606.ENSP00000290866	9606.ENSP00000309968	0	0	0	0	0.087	0	0	0.814	0.823
ACE	AGTR2	9606.ENSP00000290866	9606.ENSP00000360973	0	0	0	0	0.042	0	0	0.948	0.948
ACE	ACE2	9606.ENSP00000290866	9606.ENSP00000389326	0	0	0.109	0.857	0.042	0	0	0.952	0.956
ACE	AGTR1	9606.ENSP00000290866	9606.ENSP00000398832	0	0	0	0	0.042	0	0	0.974	0.974
ACE	AGT	9606.ENSP00000290866	9606.ENSP00000355627	0	0	0	0	0	0.733	0.750	0.989	0.999
ACE2	ADAM17	9606.ENSP00000389326	9606.ENSP00000309968	0	0	0	0	0.067	0	0	0.884	0.887
ACE2	AGT	9606.ENSP00000389326	9606.ENSP00000355627	0	0	0	0	0.042	0.739	0.750	0.989	0.999
